sentence_id	sentence	yomi	monophone
001	また東寺のように五大明王と呼ばれる主要な明王の中央に配されることも多い	マタトージノヨーニゴダイミョウオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ	m/a,t/a,t/o:,j/i,n/o,y/o:,n/i,g/o,d/a,i,my/o,u,o:,t/o,y/o,b/a,r/e,r/u,sh/u,y/o:,n/a,my/o:,o:,n/o,ch/u:,o:,n/i,h/a,i,s/a,r/e,r/u,k/o,t/o,m/o,o:,i
002	ニューイングランド風は牛乳をベースとした白いクリームスープでありボストンクラムチャウダーとも呼ばれる	ニューイングランドフーワギューニューヲベーストシタシロイクリームスープデアリボストンクラムチャウダートモヨバレル	ny/u:,i,N,g/u,r/a,N,d/o,f/u:,w/a,gy/u:,ny/u:,o,b/e:,s/u,t/o,sh/i,t/a,sh/i,r/o,i,k/u,r/i:,m/u,s/u:,p/u,d/e,a,r/i,b/o,s/u,t/o,N,k/u,r/a,m/u,ch/a,u,d/a:,t/o,m/o,y/o,b/a,r/e,r/u
003	コンピュータゲームのメーカーや業界団体などに関連する人物のカテゴリ	コンピュータゲームノメーカーヤギョーカイダンタイナドニカンレンスルジンブツノカテゴリ	k/o,N,py/u:,t/a,g/e:,m/u,n/o,m/e:,k/a:,y/a,gy/o:,k/a,i,d/a,N,t/a,i,n/a,d/o,n/i,k/a,N,r/e,N,s/u,r/u,j/i,N,b/u,ts/u,n/o,k/a,t/e,g/o,r/i
004	サービスマネージャー導入駅のため大井町駅から遠隔監視している	サービスマネージャードーニューエキノタメオーイマチエキカラエンカクカンシシテイル	s/a:,b/i,s/u,m/a,n/e:,j/a:,d/o:,ny/u:,e,k/i,n/o,t/a,m/e,o:,i,m/a,ch/i,e,k/i,k/a,r/a,e,N,k/a,k/u,k/a,N,sh/i,sh/i,t/e,i,r/u
005	シルバーサーファー襲撃事件までにリチャーズはチーム名と共に国際的にスーパーヒーローおよび有名人として認知されている	シルバーサーファーシューゲキジケンマデニリチャーズワチームメイトトモニコクサイテキニスーパーヒーローオヨビユーメイジントシテニンチサレテイル	sh/i,r/u,b/a:,s/a:,f/a:,sh/u:,g/e,k/i,j/i,k/e,N,m/a,d/e,n/i,r/i,ch/a:,z/u,w/a,ch/i:,m/u,m/e,i,t/o,t/o,m/o,n/i,k/o,k/u,s/a,i,t/e,k/i,n/i,s/u:,p/a:,h/i:,r/o:,o,y/o,b/i,y/u:,m/e,i,j/i,N,t/o,sh/i,t/e,n/i,N,ch/i,s/a,r/e,t/e,i,r/u
006	ツュレンハルト領はヴュルテンベルク領に編入された	ツュレンハルトリョーワヴュルテンベルクリョーニヘンニューサレタ	ch/u,r/e,N,h/a,r/u,t/o,ry/o:,w/a,by/u,r/u,t/e,N,b/e,r/u,k/u,ry/o:,n/i,h/e,N,ny/u:,s/a,r/e,t/a
007	時間領域と空間領域で共通する処理手法はフィルタリングによる入力信号の強化である	ジカンリョーイキトクーカンリョーイキデキョーツースルショリシュホーワフィルタリングニヨルニューリョクシンゴーノキョーカデアル	j/i,k/a,N,ry/o:,i,k/i,t/o,k/u:,k/a,N,ry/o:,i,k/i,d/e,ky/o:,ts/u:,s/u,r/u,sh/o,r/i,sh/u,h/o:,w/a,f/i,r/u,t/a,r/i,N,g/u,n/i,y/o,r/u,ny/u:,ry/o,k/u,sh/i,N,g/o:,n/o,ky/o:,k/a,d/e,a,r/u
008	シャンチーの専業プロはチームから支払われる給料と対局費を主な収入としている	シャンチーノセンギョープロワチームカラシハラワレルキューリョートタイキョクヒヲオモナシューニュートシテイル	sh/a,N,ch/i:,n/o,s/e,N,gy/o:,p/u,r/o,w/a,ch/i:,m/u,k/a,r/a,sh/i,h/a,r/a,w/a,r/e,r/u,ky/u:,ry/o:,t/o,t/a,i,ky/o,k/u,h/i,o,o,m/o,n/a,sh/u:,ny/u:,t/o,sh/i,t/e,i,r/u
009	また禰寝氏は中山王の治める琉球王国との交易にも参加した	マタネジメシワチューザンオーノオサメルリューキューオーコクトノコーエキニモサンカシタ	m/a,t/a,n/e,j/i,m/e,sh/i,w/a,ch/u:,z/a,N,o:,n/o,o,s/a,m/e,r/u,ry/u:,ky/u:,o:,k/o,k/u,t/o,n/o,k/o:,e,k/i,n/i,m/o,s/a,N,k/a,sh/i,t/a
010	スマートフォンからフィーチャーフォンまでマルチデバイスに対応	スマートフォンカラフィーチャーフォンマデマルチデバイスニタイオー	s/u,m/a:,t/o,f/o,N,k/a,r/a,f/i:,ch/a:,f/o,N,m/a,d/e,m/a,r/u,ch/i,d/e,b/a,i,s/u,n/i,t/a,i,o:
